Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
2-pack-cotton-sweatshirts-prestige-falcon-city,2-pack cotton sweatshirts,,,Clothing,,"Clothing, baby, Prestige Falcon city",TRUE,Size,005,,,,,,,shopify,1000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/99/dc/99dce0679a6d37f9df026a82e732f05974baa070.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
2-pack-cotton-sweatshirts-prestige-falcon-city,,,,,,,,Size,006,,,,,,,shopify,3000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/52/8e/528ee330ebed205c3e3d714f137853c4c8b525f6.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-cotton-sweatshirts-prestige-falcon-city,,,,,,,,Size,007,,,,,,,shopify,3000.0,deny,manual,1299.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-cotton-sweatshirts-prestige-falcon-city,,,,,,,,Size,008,,,,,,,shopify,3000.0,deny,manual,1299.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-cotton-sweatshirts-prestige-falcon-city,,,,,,,,Size,009,,,,,,,shopify,1000.0,deny,manual,1299.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-cotton-sweatshirts-mantri-mall,2-pack cotton sweatshirts,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,004,,,,,,,shopify,1000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/e2/a2/e2a2a065d7d4c73a363797c250378a5730d6eeb9.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
2-pack-cotton-sweatshirts-mantri-mall,,,,,,,,Size,006,,,,,,,shopify,1000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/a8/a3/a8a300e2f04d5da1e6e4b244c55921279d7797c0.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-cotton-sweatshirts-mantri-mall,,,,,,,,Size,009,,,,,,,shopify,1000.0,deny,manual,1299.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-ribbed-bodysuits-mantri-mall,3-pack ribbed bodysuits,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,007,,,,,,,shopify,1000.0,deny,manual,433.00,,,,,https://image.hm.com/assets/hm/c8/12/c812c742d8867ce967abba7d7875e1d2855c544b.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
3-pack-ribbed-bodysuits-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/aa/f8/aaf8c52f8094bac59670c1cabd7d4a31653595fc.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-ribbed-bodysuits-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/6a/c7/6ac7d9dfb6a3c7777455fbbf1bb50eae8e540448.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-ribbed-bodysuits-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/8d/f3/8df36d654cc7b492c211677c576af5b64c603024.jpg?imwidth=1536,4,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-ribbed-bodysuits-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/cb/40/cb4050da391f8a0a40b67c80e84c94fa50604b7e.jpg?imwidth=1536,5,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-ribbed-bodysuits-prestige-falcon-city,3-pack ribbed bodysuits,,,Clothing,,"Clothing, baby, Prestige Falcon city",TRUE,Size,004,,,,,,,shopify,3000.0,deny,manual,433.00,,,,,https://image.hm.com/assets/hm/c8/12/c812c742d8867ce967abba7d7875e1d2855c544b.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
3-pack-ribbed-bodysuits-prestige-falcon-city,,,,,,,,Size,005,,,,,,,shopify,2000.0,deny,manual,433.00,,,,,https://image.hm.com/assets/hm/aa/f8/aaf8c52f8094bac59670c1cabd7d4a31653595fc.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-ribbed-bodysuits-prestige-falcon-city,,,,,,,,Size,006,,,,,,,shopify,1000.0,deny,manual,433.00,,,,,https://image.hm.com/assets/hm/6a/c7/6ac7d9dfb6a3c7777455fbbf1bb50eae8e540448.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-ribbed-bodysuits-prestige-falcon-city,,,,,,,,Size,007,,,,,,,shopify,1000.0,deny,manual,433.00,,,,,https://image.hm.com/assets/hm/8d/f3/8df36d654cc7b492c211677c576af5b64c603024.jpg?imwidth=1536,4,,,,,,,,,,,,,,,,,,,,,,,,
3-pack-ribbed-bodysuits-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/cb/40/cb4050da391f8a0a40b67c80e84c94fa50604b7e.jpg?imwidth=1536,5,,,,,,,,,,,,,,,,,,,,,,,,
2-pack-cotton-leggings-mantri-mall,2-pack cotton leggings,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,004,,,,,,,shopify,1000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/c4/40/c440911d28f2ef6be761639fcd50fb687b008eba.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
2-pack-cotton-leggings-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/84/f1/84f1d1caef54041ca5b293e449685296a2d34893.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
fleece-all-in-one-pyjamas-mantri-mall,Fleece all-in-one pyjamas,,,Clothing,,"Clothing, baby, Mantri Mall",TRUE,Size,018,,,,,,,shopify,1000.0,deny,manual,1299.00,,,,,https://image.hm.com/assets/hm/26/b3/26b39ae36146eb8fcdedbb3539f279b81118ebfb.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
fleece-all-in-one-pyjamas-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/2f/24/2f24f883ca7474daf47ba54bcdc9d2a2d505abb5.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
fleece-all-in-one-pyjamas-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/73/49/734995ecd92f7fd098c45ec00b56e76291c1c7f7.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
