Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
1252306001-1mg-mall,3-piece jewellery set,,,Accessories,,"Accessories, kids, 1MG Mall",TRUE,Size,001,,,,,,,shopify,24000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/98/79/98794b337a525b336200874eeb6866e6a7cfade3.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1252306001-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/26/71/2671d3dcd5fba6224c42f8039590bf3c8fba049d.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1252306001-mantri-mall,3-piece jewellery set,,,Accessories,,"Accessories, kids, Mantri Mall",TRUE,Size,001,,,,,,,shopify,12000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/98/79/98794b337a525b336200874eeb6866e6a7cfade3.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1252306001-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/26/71/2671d3dcd5fba6224c42f8039590bf3c8fba049d.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1252306001-prestige-falcon-city,3-piece jewellery set,,,Accessories,,"Accessories, kids, Prestige Falcon city",TRUE,Size,001,,,,,,,shopify,7000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/98/79/98794b337a525b336200874eeb6866e6a7cfade3.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1252306001-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/26/71/2671d3dcd5fba6224c42f8039590bf3c8fba049d.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
0920249018-1mg-mall,Jewellery set,,,Accessories,,"Accessories, kids, 1MG Mall",TRUE,Size,001,,,,,,,shopify,17000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/e6/d1/e6d10cda3cacd4b5a53b84fb6286b07bde718c86.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
0920249018-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/5b/65/5b658beb5a354d7ff3e8aaa37ff871c631591416.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
0920249018-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/39/4d/394d7f25e65c42b05356d27132a5074c0bc3d01a.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
0920249018-mantri-mall,Jewellery set,,,Accessories,,"Accessories, kids, Mantri Mall",TRUE,Size,001,,,,,,,shopify,6000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/e6/d1/e6d10cda3cacd4b5a53b84fb6286b07bde718c86.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
0920249018-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/5b/65/5b658beb5a354d7ff3e8aaa37ff871c631591416.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
0920249018-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/39/4d/394d7f25e65c42b05356d27132a5074c0bc3d01a.jpg?imwidth=1536,3,,,,,,,,,,,,,,,,,,,,,,,,
1220392003-mantri-mall,Twill bucket hat,,,Accessories,,"Accessories, kids, Mantri Mall",TRUE,Size,049,,,,,,,shopify,2000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/d5/6e/d56ee7edc2618908e98841c2f7cd9aee12f41109.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1220392003-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/33/70/33703508a4a0129834e3cf2baa8ed7aa76fb5bb6.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1220392003-prestige-falcon-city,Twill bucket hat,,,Accessories,,"Accessories, kids, Prestige Falcon city",TRUE,Size,049,,,,,,,shopify,2000.0,deny,manual,799.00,,,,,https://image.hm.com/assets/hm/d5/6e/d56ee7edc2618908e98841c2f7cd9aee12f41109.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1220392003-prestige-falcon-city,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/33/70/33703508a4a0129834e3cf2baa8ed7aa76fb5bb6.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1143786016-1mg-mall,6-pack hair clips,,,Accessories,,"Accessories, kids, 1MG Mall",TRUE,Size,001,,,,,,,shopify,17000.0,deny,manual,399.00,,,,,https://image.hm.com/assets/hm/5d/68/5d68fe11187e3f94f6505651ebd8eca7a316b998.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1143786016-1mg-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/67/03/6703031d8d0a8ee33c7001c61e58b2c7bff677f7.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1143786016-mantri-mall,6-pack hair clips,,,Accessories,,"Accessories, kids, Mantri Mall",TRUE,Size,001,,,,,,,shopify,24000.0,deny,manual,399.00,,,,,https://image.hm.com/assets/hm/5d/68/5d68fe11187e3f94f6505651ebd8eca7a316b998.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
1143786016-mantri-mall,,,,,,,,,,,,,,,,,,,,,,,,,https://image.hm.com/assets/hm/67/03/6703031d8d0a8ee33c7001c61e58b2c7bff677f7.jpg?imwidth=1536,2,,,,,,,,,,,,,,,,,,,,,,,,
1143786016-prestige-falcon-city,6-pack hair clips,,,Accessories,,"Accessories, kids, Prestige Falcon city",TRUE,Size,001,,,,,,,shopify,10000.0,deny,manual,399.00,,,,,https://image.hm.com/assets/hm/5d/68/5d68fe11187e3f94f6505651ebd8eca7a316b998.jpg?imwidth=1536,1,,,,,,,,,,,,,,,,,,,,,,,,active
